# Logger: PatternLogger | Started: Sun Apr 26 10:47:21 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:47:47.030,25.465,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[87ffe055-651b-4dec-b871-1a163212ae9a]]
2026-04-26 10:47:48.024,26.459,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ccd27ab1-f0d0-4f1d-8409-171e5eb3a38f]]
2026-04-26 10:47:48.025,26.460,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[4b38625e-8c70-43d9-8d1f-87947b476334];[2404fced-7c4d-4718-96f3-41b365bf8a1b];[ccd27ab1-f0d0-4f1d-8409-171e5eb3a38f]]
2026-04-26 10:47:48.026,26.461,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[87ffe055-651b-4dec-b871-1a163212ae9a];[ccd27ab1-f0d0-4f1d-8409-171e5eb3a38f]]
2026-04-26 10:47:48.038,26.473,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[492874ec-36cc-4148-a13c-fa5d485429dd]]
2026-04-26 10:47:49.025,27.460,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[79ee8409-a29a-4caa-a2a6-74be42058e69]]
2026-04-26 10:47:49.027,27.462,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[87ffe055-651b-4dec-b871-1a163212ae9a];[ccd27ab1-f0d0-4f1d-8409-171e5eb3a38f];[79ee8409-a29a-4caa-a2a6-74be42058e69]]
2026-04-26 10:47:49.029,27.464,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[492874ec-36cc-4148-a13c-fa5d485429dd];[79ee8409-a29a-4caa-a2a6-74be42058e69]]
2026-04-26 10:47:49.043,27.478,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[1ba5452f-29e7-488c-9267-efd929c4e073]]
2026-04-26 10:47:50.015,28.450,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[39dd56ec-d48b-45c0-9740-36fa5de4552c]]
2026-04-26 10:47:50.026,28.461,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[1904207b-ced6-4745-8fa7-ea1ccb495084]]
2026-04-26 10:47:50.026,28.461,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[492874ec-36cc-4148-a13c-fa5d485429dd];[79ee8409-a29a-4caa-a2a6-74be42058e69];[1904207b-ced6-4745-8fa7-ea1ccb495084]]
2026-04-26 10:47:50.028,28.463,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[1ba5452f-29e7-488c-9267-efd929c4e073];[1904207b-ced6-4745-8fa7-ea1ccb495084]]
2026-04-26 10:47:51.017,29.452,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[d2b4e0fa-3cf9-42e0-95a7-bccc8dd9f44b]]
2026-04-26 10:47:51.029,29.464,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[aa2abadc-e52a-452d-b460-6077690da6b0]]
2026-04-26 10:47:51.030,29.465,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[1ba5452f-29e7-488c-9267-efd929c4e073];[1904207b-ced6-4745-8fa7-ea1ccb495084];[aa2abadc-e52a-452d-b460-6077690da6b0]]
2026-04-26 10:47:51.031,29.466,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[d2b4e0fa-3cf9-42e0-95a7-bccc8dd9f44b];[aa2abadc-e52a-452d-b460-6077690da6b0]]
2026-04-26 10:47:52.008,30.443,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[49ad7e89-b2b2-4eb6-874b-731fa296ee3a]]
2026-04-26 10:47:52.023,30.458,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[b43ad9e6-f7b8-4cff-a3da-a21032c070e3]]
2026-04-26 10:47:52.023,30.458,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[d2b4e0fa-3cf9-42e0-95a7-bccc8dd9f44b];[aa2abadc-e52a-452d-b460-6077690da6b0];[b43ad9e6-f7b8-4cff-a3da-a21032c070e3]]
